question_id,actual_answer,human_answer,model_prediction,explainability_combination
1,Dummy_actual_ans,1,Dummy_model_ans,image
2,Dummy_actual_ans,2,Dummy_model_ans,both
3,Dummy_actual_ans,3,Dummy_model_ans,both
4,Dummy_actual_ans,4,Dummy_model_ans,text
5,Dummy_actual_ans,1,Dummy_model_ans,both
6,Dummy_actual_ans,1,Dummy_model_ans,image
7,Dummy_actual_ans,2,Dummy_model_ans,both
8,Dummy_actual_ans,3,Dummy_model_ans,text
9,Dummy_actual_ans,1,Dummy_model_ans,image
10,Dummy_actual_ans,1,Dummy_model_ans,image
11,Dummy_actual_ans,1,Dummy_model_ans,text
12,Dummy_actual_ans,1,Dummy_model_ans,both
13,Dummy_actual_ans,1,Dummy_model_ans,text
14,Dummy_actual_ans,1,Dummy_model_ans,image
15,Dummy_actual_ans,1,Dummy_model_ans,both
16,Dummy_actual_ans,1,Dummy_model_ans,both
17,Dummy_actual_ans,1,Dummy_model_ans,image
18,Dummy_actual_ans,1,Dummy_model_ans,image
19,Dummy_actual_ans,1,Dummy_model_ans,text
20,Dummy_actual_ans,1,Dummy_model_ans,both
